LEARNING_OBJECTIVE, NUMBER_RIGHT, NUMBER_WRONG
"The student is expected to learn the following in relation to storage devices selection and installation: for hard drives, they should understand the different speeds available, including 5,400rpm, 7,200rpm, 10,000rpm, and 15,000rpm, as well as the various form factors, such as 2.5 and 3.5 inches. Regarding SSDs, they need to grasp the different communication interfaces, including Non-volatile Memory Express (NVMe), SATA, and Peripheral Component Interconnect Express (PCIe), and the different form factors, such as M.2 and mSATA. Additionally, they should comprehend drive configurations, such as Redundant Array of Independent (or Inexpensive) Disks (RAID) 0, 1, 5, and 10. Furthermore, the student should be knowledgeable about removable storage options, including flash drives, memory cards, and optical drives.",0,0
"The learning objective entails the acquisition of knowledge and skills related to installing and configuring motherboards, central processing units (CPUs), and add-on cards. Firstly, students should comprehend the different motherboard form factors, including Advanced Technology eXtended (ATX) and Information Technology eXtended (ITX). They should also familiarize themselves with various motherboard connector types, such as Peripheral Component Interconnect (PCI), PCI Express (PCIe), power connectors, SATA, eSATA, headers, and M.2. Furthermore, understanding motherboard compatibility is crucial, encompassing CPU sockets for Advanced Micro Devices, Inc. (AMD) and Intel processors, as well as server, multisocket, desktop, and mobile configurations. In terms of BIOS/Unified Extensible Firmware Interface (UEFI) settings, students should learn about boot options, USB permissions, Trusted Platform Module (TPM) security features, fan considerations, secure boot, and boot password settings. Additionally, knowledge of encryption methods like TPM and hardware security modules (HSM) is essential. Understanding CPU architecture, including x64/x86, Advanced RISC Machine (ARM), single-core, multicore, multithreading, and virtualization support, is also important. Familiarity with expansion cards such as sound cards, video cards, capture cards, and NICs (network interface cards) is necessary. Finally, students should learn about cooling mechanisms, including fans, heat sinks, thermal paste/pads, and liquid cooling.",0,0
"The learning objective is for the student to gain the knowledge and skills necessary to install or replace the appropriate power supply in a given scenario. This includes understanding the differences between input voltages, specifically 110-120 VAC and 220-240 VAC, and being able to select the appropriate input voltage for the power supply based on the specific requirements of the system. The student should also be able to differentiate between different output voltages, such as 3.3V, 5V, and 12V, and determine which output voltage is suitable for a particular component or system. Additionally, the student should be familiar with a 20-pin to 24-pin motherboard adapter, which may be required to connect a power supply to a motherboard with a different pin configuration. They should also understand the concepts of redundant power supplies, which provide backup power in case of failure, and modular power supplies, which allow for customization and flexibility in the cable connections. Lastly, the student should be able to consider and assess the wattage rating of a power supply, taking into account the power requirements of the system and ensuring that the power supply can deliver sufficient power to all components.",0,0
"The learning objective encompasses the following topics related to deploying and configuring multifunction devices/printers and their settings. Students are expected to learn how to properly unbox a device, considering setup location considerations. They should be able to use appropriate drivers for a given operating system, distinguishing between Printer Control Language (PCL) and PostScript. Understanding device connectivity is crucial, including USB, Ethernet, and wireless connections. Students should also be knowledgeable about configuring public/shared devices, such as printer sharing and print servers. They should be able to adjust configuration settings, including duplex printing, orientation, tray settings, and print quality. Knowledge of security measures is essential, including user authentication, badging, audit logs, and secured prints. Students should also learn about network scan services, such as email, SMB (Server Message Block), and cloud services. Finally, they should be familiar with using the automatic document feeder (ADF) and flatbed scanner functionalities.",0,0
"The learning objective encompasses various aspects related to installing and replacing printer consumables in different printer types. For laser printers, students are expected to understand and handle components such as the imaging drum, fuser assembly, transfer belt, transfer roller, pickup rollers, separation pads, and duplexing assembly. They should also be familiar with the imaging process, which includes steps like processing, charging, exposing, developing, transferring, fusing, and cleaning. Additionally, maintenance tasks like replacing toner, applying maintenance kits, calibration, and cleaning are emphasized. In the case of inkjet printers, students should learn about ink cartridges, print heads, rollers, feeders, duplexing assembly, and carriage belts. Calibration, cleaning heads, replacing cartridges, calibrating, and clearing jams are essential maintenance procedures for inkjet printers. Thermal printers involve understanding feed assemblies, heating elements, special thermal paper, and maintenance tasks such as replacing paper, cleaning heating elements, and removing debris, considering the heat sensitivity of the paper. Impact printers require knowledge of print heads, ribbons, tractor feeds, impact paper, and maintenance practices like replacing ribbons, print heads, and paper. Lastly, for 3-D printers, students should be familiar with handling filaments, resin, and print beds.",0,0
"The learning objective is to acquire a comprehensive understanding of cloud computing concepts. This includes the ability to summarize the various common cloud models, which consist of private cloud, public cloud, hybrid cloud, community cloud, infrastructure as a service (IaaS), software as a service (SaaS), and platform as a service (PaaS). Additionally, the objective involves grasping the fundamental characteristics of cloud computing, such as shared resources, metered utilization, rapid elasticity, high availability, and file synchronization. Furthermore, the objective encompasses the concept of desktop virtualization, specifically focusing on virtual desktop infrastructure (VDI) both on premises and in the cloud. By achieving these learning objectives, the student will have a comprehensive understanding of cloud computing concepts and their practical applications.",0,0
"The learning objective encompasses several aspects of client-side virtualization. Firstly, students are expected to understand the purpose of virtual machines, which includes their role as a sandbox for testing and development, as well as their ability to facilitate application virtualization. Additionally, they should grasp the significance of virtual machines in running legacy software and operating systems, as well as enabling cross-platform virtualization. Furthermore, students should learn about the resource requirements associated with virtualization, including the hardware and software resources necessary for optimal performance. Finally, they should be aware of the security requirements specific to client-side virtualization, such as protecting virtual machines from unauthorized access and ensuring the integrity of virtualized environments.",0,0
"The learning objective entails that the student learns how to apply the best practice methodology to resolve problems in a given scenario, while considering corporate policies, procedures, and impacts before implementing changes. The steps involved in achieving this objective are as follows: Firstly, the student should identify the problem by gathering information from the user, identifying user changes, and performing backups, if necessary, before making any changes. They should also inquire about any environmental or infrastructure changes related to the problem. Secondly, the student needs to establish a theory of probable cause by questioning the obvious and conducting research, both externally and internally, based on symptoms, if required. Thirdly, they should test the theory to determine the cause, confirming it and then determining the next steps to resolve the problem. In case the theory is not confirmed, they should either establish a new theory or escalate the issue. Fourthly, the student should establish a plan of action to resolve the problem and implement the solution, referring to the vendor's instructions for guidance. Fifthly, they should verify full system functionality and, if applicable, implement preventive measures. Lastly, it is essential to document the findings, actions taken, and outcomes throughout the problem resolution process. By mastering these steps, the student will be equipped to effectively apply best practices and methodologies, ensuring efficient problem resolution while considering corporate policies, procedures, and impacts.",0,0
"The learning objective is for the student to acquire the knowledge and skills necessary to troubleshoot problems related to motherboards, RAM, CPU, and power. This includes being able to identify and address common symptoms that may arise in these components. The symptoms include Power-on self-test (POST) beeps, proprietary crash screens (such as the blue screen of death [BSOD] or pinwheel), black screen, no power, sluggish performance, overheating, burning smell, intermittent shutdown, application crashes, grinding noise, capacitor swelling, and inaccurate system date/time. By the end of the learning process, the student should be capable of diagnosing and resolving these issues efficiently.",0,0
"The learning objective is for the student to acquire the skills to troubleshoot and diagnose issues related to storage drives and RAID arrays in various scenarios. The student should be able to identify and understand common symptoms, including interpreting the status indicators provided by light-emitting diodes (LEDs). They should be able to recognize potential issues such as grinding noises, clicking sounds, and bootable device not found errors. Additionally, the student should be capable of addressing problems related to data loss or corruption, RAID failures, and failures of the Self-monitoring, Analysis, and Reporting Technology (S.M.A.R.T.) system. They should also be able to diagnose extended read/write times, identify issues with Input/output operations per second (IOPS), and troubleshoot cases where drives are missing in the operating system.",0,0
"The learning objective entails the student's ability to troubleshoot various video, projector, and display issues within a given scenario. They should be capable of addressing common symptoms, including identifying and rectifying incorrect data sources, resolving physical cabling issues, replacing burned-out bulbs, improving fuzzy images, mitigating display burn-in, addressing dead pixels, addressing flashing screens, correcting incorrect color displays, resolving audio issues, addressing dim images, and troubleshooting intermittent projector shutdowns. The student should be proficient in identifying these issues and applying appropriate troubleshooting techniques to resolve them effectively.",0,0
"The learning objective entails acquiring the necessary skills to effectively troubleshoot various common issues encountered with mobile devices. These issues include poor battery health, which may involve diagnosing and addressing factors affecting battery performance. Swollen batteries are another concern, requiring identification and appropriate handling to prevent potential hazards. Students should also learn how to deal with broken screens, including potential replacement options. Understanding improper charging and implementing proper charging techniques is crucial to maintaining device functionality. Troubleshooting poor or no connectivity involves diagnosing network-related problems and implementing appropriate solutions. Liquid damage poses a significant challenge, and students should learn how to mitigate the effects of water or liquid exposure on mobile devices. Additionally, understanding overheating causes and implementing cooling measures is important. Issues related to digitizer functionality, such as cursor drift and touch calibration, should be addressed through diagnosis and calibration methods. Physically damaged ports require identification and potential repair or replacement. Knowledge of malware detection and removal techniques is essential to address security threats. Overall, the learning objective encompasses a comprehensive understanding of these common mobile device issues and the ability to troubleshoot and resolve them effectively.",0,0
"The learning objective is for the student to gain the ability to troubleshoot and resolve printer issues in various scenarios. The student should be able to identify and address common symptoms such as lines appearing down the printed pages, garbled print, toner not fusing to the paper, paper jams, faded print, incorrect paper size, paper not feeding properly, multipage misfeeds, multiple prints pending in the queue, speckling on printed pages, double/echo images on the print, incorrect color settings, grinding noise, and finishing issues. Additionally, the student should also be capable of handling specific issues like staple jams, hole punch problems, and incorrect page orientation.",0,0
"The learning objective focuses on the student's ability to troubleshoot problems in both wired and wireless networks. They are expected to understand and address common symptoms that may arise in these networks, including intermittent wireless connectivity, slow network speeds, limited connectivity, jitter, poor Voice over Internet Protocol (VoIP) quality, port flapping, high latency, and external interference. Through this objective, students should develop the skills necessary to identify and resolve issues related to these symptoms, ensuring efficient and reliable network performance.",0,0
